infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;98;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;99;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;100;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;2;2;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;3;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;4;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;5;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;6;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;7;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;8;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;9;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;10;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;11;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;12;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;13;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;14;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;15;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;16;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;17;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;18;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;19;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;20;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;21;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;22;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;23;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;24;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;25;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;26;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;27;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;28;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;29;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;30;2;19;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;2;31;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;32;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;33;3;19;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;2;34;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;35;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;36;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;37;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;38;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;39;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;40;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;41;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;42;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;43;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;44;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;45;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;46;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;47;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;48;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;49;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;50;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;51;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;52;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;53;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;54;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;55;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;56;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;57;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;58;2;19;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;2;59;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;60;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;61;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;62;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;63;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;64;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;65;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;66;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;67;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;68;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;69;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;global;True;1;1;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;70;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;2;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;71;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;3;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;72;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;4;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;73;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;74;2;19;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;global;True;1;5;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;75;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;76;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;6;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;7;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;77;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;8;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;78;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;79;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;10;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;80;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;11;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;81;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;12;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;82;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;83;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;13;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;84;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;14;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;85;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;15;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;86;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;16;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;87;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;88;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;17;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;18;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;89;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;19;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;90;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;91;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;92;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;20;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;93;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;94;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;95;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;96;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;21;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;97;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;98;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;22;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;2;99;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;23;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;2;100;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;24;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;25;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;26;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;27;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;28;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;29;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;30;2;9;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;global;True;1;31;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;32;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;33;3;9;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;global;True;1;34;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;35;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;36;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;37;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;38;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;39;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;40;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;41;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;42;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;43;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;44;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;45;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;46;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;47;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;48;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;49;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;50;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;51;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;52;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;53;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;54;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;55;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;56;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;57;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;58;2;9;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;global;True;1;59;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;60;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;61;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;62;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;63;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;64;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;65;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;66;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;67;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;68;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;69;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;70;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;71;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;72;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;73;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;74;2;9;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;global;True;1;75;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;76;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;77;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;78;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;79;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;80;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;81;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;82;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;83;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;84;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;85;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;86;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;87;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;88;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;89;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;90;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;91;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;92;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;93;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;94;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;95;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;96;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;97;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;98;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;1;99;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;1;100;1;9;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;3;3;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;4;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;5;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;6;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;7;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;8;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;9;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;10;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;11;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;12;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;13;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;14;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;15;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;16;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;17;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;18;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;19;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;20;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;21;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;22;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;23;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;24;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;25;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;26;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;27;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;28;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;29;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;30;2;29;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;3;31;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;32;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;33;3;29;1.0;1.0;1.0;1.0;1.0;3;3;3;3;3;0;3;0
dk;incremental;True;3;34;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;35;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;36;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;37;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;38;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;39;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;40;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;41;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;42;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;43;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;44;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;45;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;46;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;global;True;2;2;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;47;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;3;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;48;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;49;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;4;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;5;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;50;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;51;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;6;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;52;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;7;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;53;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;2;8;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;54;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;9;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;55;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;10;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;56;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;57;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;11;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;58;2;29;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;global;True;2;12;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;59;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;13;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;60;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;14;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;61;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;15;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;62;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;63;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;2;16;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;17;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;64;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;2;18;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;65;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;2;19;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;66;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;20;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;67;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;2;21;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;68;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;69;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;22;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;global;True;2;23;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;70;1;29;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;71;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;24;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;3;72;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;25;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;3;73;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;global;True;2;26;1;19;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
